Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,bf,tw,tf,bf/2tf,h/tw,kdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1
W,W18X40,W18X40,F,40,11.8,17.9,6.02,0.315,0.525,5.73,50.9,0.927,612,78.4,68.4,7.21,19.1,10,6.35,1.27,0.81,1440,26.1,20.7
W,W18X35,W18X35,F,35,10.3,17.7,6,0.3,0.425,7.06,53.5,0.827,510,66.5,57.6,7.04,15.3,8.06,5.12,1.22,0.506,1140,25.9,16.5
W,W16X100,W16X100,F,100,29.4,17,10.4,0.585,0.985,5.29,24.3,1.39,1490,198,175,7.1,186,54.9,35.7,2.51,7.73,11900,41.6,107
W,W16X89,W16X89,F,89,26.2,16.8,10.4,0.525,0.875,5.92,27,1.28,1300,175,155,7.05,163,48.1,31.4,2.49,5.45,10200,41.4,94.2
W,W16X77,W16X77,F,77,22.6,16.5,10.3,0.455,0.76,6.77,31.2,1.16,1110,150,134,7,138,41.1,26.9,2.47,3.57,8590,40.5,79.3
W,W16X67,W16X67,F,67,19.6,16.3,10.2,0.395,0.665,7.7,35.9,1.07,954,130,117,6.96,119,35.5,23.2,2.46,2.39,7300,39.9,67.6
W,W16X57,W16X57,F,57,16.8,16.4,7.12,0.43,0.715,4.98,33,1.12,758,105,92.2,6.72,43.1,18.9,12.1,1.6,2.22,2660,27.9,35.5
W,W16X50,W16X50,F,50,14.7,16.3,7.07,0.38,0.63,5.61,37.4,1.03,659,92,81,6.68,37.2,16.3,10.5,1.59,1.52,2270,27.7,30.8
W,W16X45,W16X45,F,45,13.3,16.1,7.04,0.345,0.565,6.23,41.1,0.967,586,82.3,72.7,6.65,32.8,14.5,9.34,1.57,1.11,1990,27.3,27.2
W,W16X40,W16X40,F,40,11.8,16,7,0.305,0.505,6.93,46.5,0.907,518,73,64.7,6.63,28.9,12.7,8.25,1.57,0.794,1730,27.1,24
W,W16X36,W16X36,F,36,10.6,15.9,6.99,0.295,0.43,8.12,48.1,0.832,448,64,56.5,6.51,24.5,10.8,7,1.52,0.545,1460,27,20.3
W,W16X31,W16X31,F,31,9.13,15.9,5.53,0.275,0.44,6.28,51.6,0.842,375,54,47.2,6.41,12.4,7.03,4.49,1.17,0.461,739,21.4,13
W,W16X26,W16X26,F,26,7.68,15.7,5.5,0.25,0.345,7.97,56.8,0.747,301,44.2,38.4,6.26,9.59,5.48,3.49,1.12,0.262,565,21.1,10
W,W14X873,W14X873,T,873,257,23.6,18.8,3.94,5.51,1.71,2.89,6.1,18100,2030,1530,8.39,6170,1020,656,4.9,2270,505000,85,2200
W,W14X808,W14X808,T,808,238,22.8,18.6,3.74,5.12,1.82,3.04,5.71,15900,1830,1390,8.17,5550,930,597,4.83,1840,434000,82.2,1960
W,W14X730,W14X730,T,730,215,22.4,17.9,3.07,4.91,1.82,3.71,5.51,14300,1660,1280,8.17,4720,816,527,4.69,1450,362000,78.3,1720
W,W14X665,W14X665,T,665,196,21.6,17.7,2.83,4.52,1.95,4.03,5.12,12400,1480,1150,7.98,4170,730,472,4.62,1120,305000,75.6,1510
W,W14X605,W14X605,T,605,178,20.9,17.4,2.6,4.16,2.09,4.39,4.76,10800,1320,1040,7.8,3680,652,423,4.55,869,258000,72.8,1320
W,W14X550,W14X550,T,550,162,20.2,17.2,2.38,3.82,2.25,4.79,4.42,9430,1180,931,7.63,3250,583,378,4.49,669,219000,70.4,1160
W,W14X500,W14X500,T,500,147,19.6,17,2.19,3.5,2.43,5.21,4.1,8210,1050,838,7.48,2880,522,339,4.43,514,187000,68.4,1020
W,W14X455,W14X455,T,455,134,19,16.8,2.02,3.21,2.62,5.66,3.81,7190,936,756,7.33,2560,468,304,4.38,395,160000,66.3,894
W,W14X426,W14X426,T,426,125,18.7,16.7,1.88,3.04,2.75,6.08,3.63,6600,869,706,7.26,2360,434,283,4.34,331,144000,65.4,830
W,W14X398,W14X398,T,398,117,18.3,16.6,1.77,2.85,2.92,6.44,3.44,6000,801,656,7.16,2170,402,262,4.31,273,129000,64.1,758
W,W14X370,W14X370,T,370,109,17.9,16.5,1.66,2.66,3.1,6.89,3.26,5440,736,607,7.07,1990,370,241,4.27,222,116000,62.9,690
W,W14X342,W14X342,T,342,101,17.5,16.4,1.54,2.47,3.31,7.41,3.07,4900,672,558,6.98,1810,338,221,4.24,178,103000,61.6,624
W,W14X311,W14X311,T,311,91.4,17.1,16.2,1.41,2.26,3.59,8.09,2.86,4330,603,506,6.88,1610,304,199,4.2,136,89100,60.1,550
W,W14X283,W14X283,T,283,83.3,16.7,16.1,1.29,2.07,3.89,8.84,2.67,3840,542,459,6.79,1440,274,179,4.17,104,77700,58.9,491
W,W14X257,W14X257,F,257,75.6,16.4,16,1.18,1.89,4.23,9.71,2.49,3400,487,415,6.71,1290,246,161,4.13,79.1,67800,58,439
W,W14X233,W14X233,F,233,68.5,16,15.9,1.07,1.72,4.62,10.7,2.32,3010,436,375,6.63,1150,221,145,4.1,59.5,59000,56.8,388
W,W14X211,W14X211,F,211,62,15.7,15.8,0.98,1.56,5.06,11.6,2.16,2660,390,338,6.55,1030,198,130,4.07,44.6,51500,55.9,344
W,W14X193,W14X193,F,193,56.8,15.5,15.7,0.89,1.44,5.45,12.8,2.04,2400,355,310,6.5,931,180,119,4.05,34.8,45900,55.2,312
W,W14X176,W14X176,F,176,51.8,15.2,15.7,0.83,1.31,5.97,13.7,1.91,2140,320,281,6.43,838,163,107,4.02,26.5,40500,54.5,280
W,W14X159,W14X159,F,159,46.7,15,15.6,0.745,1.19,6.54,15.3,1.79,1900,287,254,6.38,748,146,96.2,4,19.7,35600,53.9,250
W,W14X145,W14X145,F,145,42.7,14.8,15.5,0.68,1.09,7.11,16.8,1.69,1710,260,232,6.33,677,133,87.3,3.98,15.2,31700,53.1,224
W,W14X132,W14X132,F,132,38.8,14.7,14.7,0.645,1.03,7.15,17.7,1.63,1530,234,209,6.28,548,113,74.5,3.76,12.3,25500,50.2,190
W,W14X120,W14X120,F,120,35.3,14.5,14.7,0.59,0.94,7.8,19.3,1.54,1380,212,190,6.24,495,102,67.5,3.74,9.37,22700,49.8,172
W,W14X109,W14X109,F,109,32,14.3,14.6,0.525,0.86,8.49,21.7,1.46,1240,192,173,6.22,447,92.7,61.2,3.73,7.12,20200,49.1,154
W,W14X99,W14X99,F,99,29.1,14.2,14.6,0.485,0.78,9.34,23.5,1.38,1110,173,157,6.17,402,83.6,55.2,3.71,5.37,18000,49,139
W,W14X90,W14X90,F,90,26.5,14,14.5,0.44,0.71,10.2,25.9,1.31,999,157,143,6.14,362,75.6,49.9,3.7,4.06,16000,48.2,124
W,W14X82,W14X82,F,82,24,14.3,10.1,0.51,0.855,5.92,22.4,1.45,881,139,123,6.05,148,44.8,29.3,2.48,5.07,6710,33.9,73.3
W,W14X74,W14X74,F,74,21.8,14.2,10.1,0.45,0.785,6.41,25.4,1.38,795,126,112,6.04,134,40.5,26.6,2.48,3.87,5990,33.9,67.1
W,W14X68,W14X68,F,68,20,14,10,0.415,0.72,6.97,27.5,1.31,722,115,103,6.01,121,36.9,24.2,2.46,3.01,5380,33.2,59.8
W,W14X61,W14X61,F,61,17.9,13.9,10,0.375,0.645,7.75,30.4,1.24,640,102,92.1,5.98,107,32.8,21.5,2.45,2.19,4710,33.1,53.4
W,W14X53,W14X53,F,53,15.6,13.9,8.06,0.37,0.66,6.11,30.9,1.25,541,87.1,77.8,5.89,57.7,22,14.3,1.92,1.94,2540,26.7,35.5
W,W14X48,W14X48,F,48,14.1,13.8,8.03,0.34,0.595,6.75,33.6,1.19,484,78.4,70.2,5.85,51.4,19.6,12.8,1.91,1.45,2240,26.5,31.7
W,W14X43,W14X43,F,43,12.6,13.7,8,0.305,0.53,7.54,37.4,1.12,428,69.6,62.6,5.82,45.2,17.3,11.3,1.89,1.05,1950,26.3,27.9
W,W14X38,W14X38,F,38,11.2,14.1,6.77,0.31,0.515,6.57,39.6,0.915,385,61.5,54.6,5.87,26.7,12.1,7.88,1.55,0.798,1230,23,20
